OTU	a	b	c	d	e	f	g	h	i	j	k	l	m	n	o	p	q	r	s	t	u	v	w	x	y	z
OTU_43	0	0	4410	0	851	0	0	504	1035	0	2511	0	0	0	4375	0	0	0	0	0	0	0	0	0	0	0
OTU_44	4226	0	0	539	0	0	0	0	1265	0	0	0	0	0	265	0	0	0	1878	0	0	0	3914	0	0	0
OTU_45	1635	3480	0	0	0	0	1392	0	0	1927	2276	0	0	0	3464	1871	0	1648	0	0	0	0	545	0	0	0
OTU_46	0	0	0	0	2108	1556	1852	2156	0	0	0	0	0	0	0	4006	0	0	0	0	0	0	2410	0	0	797
OTU_47	0	737	2954	0	3438	0	0	0	1714	4266	0	2171	0	0	0	0	0	0	2181	0	0	0	0	3504	0	0
OTU_48	0	0	0	762	0	2067	0	222	0	3875	0	2687	0	0	3753	3454	4390	0	1251	2295	701	0	0	0	0	0
OTU_49	885	0	3840	0	0	0	0	1268	0	0	703	0	0	0	3668	2391	0	1486	0	0	4171	0	0	0	0	559
OTU_50	0	0	0	0	0	0	0	0	0	0	0	446	84	0	0	490	0	0	0	0	0	195	1241	0	0	0
OTU_51	0	0	0	0	0	883	0	0	2203	1589	0	0	2598	2057	3351	880	3722	197	0	0	0	2281	0	0	0	0
OTU_52	0	3550	0	0	2153	1515	0	0	0	0	0	0	0	0	0	0	0	2533	0	0	1949	0	0	759	3848	0
OTU_53	0	0	0	0	4047	803	0	157	0	0	471	3215	0	0	1942	0	0	0	0	2941	0	4444	0	4423	0	0
OTU_54	0	0	0	0	0	163	1257	0	0	0	0	0	0	0	0	0	0	0	0	894	2249	3718	3443	0	0	0
OTU_55	2940	969	4184	0	0	2832	0	0	0	0	0	0	0	1990	0	485	0	0	2815	0	2912	0	0	0	0	1662
OTU_56	0	3149	0	0	0	2406	0	0	0	0	0	0	0	0	1844	0	0	0	0	0	0	0	0	797	0	0
OTU_57	2595	0	1338	0	2031	1621	0	0	0	4055	0	0	0	0	0	0	0	0	0	0	1703	0	0	0	0	0
OTU_58	0	4286	0	0	0	1325	0	912	0	0	0	0	0	1145	0	0	1043	1656	1710	4331	0	0	0	0	731	4168
OTU_59	3963	0	131	1753	0	0	826	0	0	0	0	0	4235	0	3712	0	0	0	0	1911	0	2181	3137	0	0	0
OTU_60	1131	0	0	0	0	0	3694	0	4471	0	0	2684	0	0	0	0	0	0	1000	0	2250	0	0	0	0	528
OTU_61	1782	0	1763	0	0	3318	0	0	4121	507	2154	454	0	0	0	0	0	1154	0	838	3346	0	0	3340	0	0
OTU_62	2829	0	0	1560	0	0	399	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1798	0	0	3743	0
OTU_63	4204	0	0	0	0	0	0	1310	0	0	2933	0	0	0	0	0	0	0	0	0	734	0	0	0	0	2723
OTU_64	674	2046	0	3462	1952	0	1330	0	0	0	2008	655	0	0	0	0	310	1445	1435	3091	4013	1428	0	0	1629	1925
OTU_65	2968	0	0	3815	0	0	0	0	3603	0	0	1737	0	3448	0	2236	0	0	0	201	3282	0	0	0	0	0
OTU_66	0	414	2572	1408	0	0	0	0	954	0	2537	2493	0	0	0	0	0	4387	2293	0	16	0	0	0	1271	0
OTU_67	0	0	2934	0	2174	2095	0	0	0	0	812	3718	0	0	0	0	2583	460	0	0	3072	0	0	0	0	0
OTU_68	464	0	0	0	0	0	0	849	0	0	0	0	0	0	968	0	0	0	0	0	3578	3526	4008	2530	0	0
OTU_69	0	0	3214	0	4372	1719	0	3752	0	0	0	3494	0	0	0	0	0	0	0	0	3734	0	0	0	3404	1819
OTU_70	2058	1578	2487	1920	0	2930	0	0	0	2500	0	0	0	0	358	1005	0	1070	0	1558	1055	0	0	2097	0	4352
OTU_71	37	0	0	0	0	0	0	2894	0	312	0	2547	0	2094	0	0	0	4090	0	1362	779	0	856	0	0	0
OTU_72	1259	0	540	0	531	0	0	0	0	0	0	3884	0	0	138	0	0	0	1564	2304	0	0	0	0	0	3925
OTU_73	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4067	0	3760	698	0	0	0	0	0	4132	174
OTU_74	0	0	0	0	692	1953	0	3556	0	0	3740	3888	2631	0	971	0	0	0	44	0	0	0	4298	2115	279	0
OTU_75	0	0	0	0	0	0	0	0	0	101	4398	0	0	0	0	0	0	778	0	0	0	0	0	4442	0	765
OTU_76	0	0	0	2281	0	0	116	0	0	0	0	0	0	0	0	1697	2036	0	80	0	4482	2976	0	0	0	0
OTU_77	0	0	0	0	1242	0	4308	0	668	0	0	0	2072	0	0	0	0	0	0	0	0	0	1701	0	0	1185
OTU_78	0	0	0	0	0	0	0	0	0	0	131	0	0	4264	0	2739	0	4041	0	0	0	0	0	3222	0	0
OTU_79	0	0	0	0	0	2010	0	0	0	0	4410	0	0	2362	0	3718	0	0	2342	0	0	0	0	0	0	0
OTU_80	0	0	3595	0	0	3680	0	3981	0	0	0	0	2678	0	4372	0	0	0	0	554	0	0	0	0	1123	0
OTU_81	3070	0	0	0	0	942	0	251	0	0	0	0	0	3450	0	0	0	3380	0	0	0	2390	0	0	0	0
OTU_82	1247	0	2343	0	0	3604	0	0	0	0	0	0	0	0	0	0	0	0	0	1499	0	1360	0	0	0	0
OTU_83	0	3448	0	0	0	0	0	0	0	0	0	0	0	0	3883	3231	0	0	0	2929	0	1639	0	4468	3304	0
OTU_84	0	2994	0	0	0	1388	0	0	0	11	0	0	2294	0	0	0	0	0	0	2473	0	0	0	0	666	0
OTU_85	0	0	0	4075	0	0	3670	0	0	0	0	634	0	0	0	3688	0	0	0	3922	2311	3992	3647	769	0	4223
OTU_86	0	2863	2780	0	3560	3718	0	0	0	0	0	4451	0	0	0	488	2860	0	0	0	0	0	0	0	0	0
OTU_87	0	564	4181	0	714	2673	151	0	0	0	0	0	3772	0	0	0	0	2322	0	0	0	0	0	0	0	0
OTU_88	0	0	0	0	2284	0	0	4264	0	3932	0	0	0	0	0	0	0	0	3882	0	0	3966	0	0	0	0
OTU_89	0	0	0	0	0	0	2715	90	0	0	0	2062	0	1803	0	0	2952	0	0	2699	0	1863	3005	0	0	299
OTU_90	2984	0	1028	0	2825	0	3732	0	0	0	0	0	0	0	0	873	0	0	0	0	0	0	0	0	0	0
OTU_91	1883	0	0	2170	349	0	2225	0	2587	3899	0	1119	0	0	0	1729	0	0	0	0	0	0	0	364	0	1627
OTU_92	0	332	0	0	0	794	958	3052	0	1188	531	0	4117	3145	0	416	0	0	0	0	2240	0	0	0	0	3424
OTU_93	0	0	0	0	0	0	0	0	0	3669	1702	0	0	0	0	0	0	0	0	504	1249	0	0	0	0	0
OTU_94	0	4398	0	0	0	3957	0	0	0	4123	0	0	0	2899	0	1030	0	0	1914	0	2818	0	153	0	3002	0
OTU_95	2987	1114	0	0	0	3052	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1334	4367	0	2880	0
OTU_96	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	211	0	2394	0	0	0	2705	0	0	0	2794
OTU_97	0	0	0	3289	0	0	0	0	0	3477	0	4291	0	0	0	0	0	0	2246	708	0	3280	0	0	0	0
OTU_98	0	1034	0	0	1685	3842	2234	0	362	2866	0	27	0	0	0	0	0	1437	0	624	627	0	3294	0	0	0
OTU_99	0	0	0	0	0	0	0	4217	0	3119	0	0	0	2340	0	0	0	2864	0	0	0	0	0	0	0	2103
OTU_100	3007	166	298	0	0	2126	0	3765	0	0	0	0	0	2363	0	152	0	0	0	0	0	0	0	3470	826	522
