OTU	a	b	c	d	e	f	g	h	i	j	k	l	m	n	o	p	q	r	s	t	u	v	w	x	y	z
OTU_26	262	0	0	0	0	0	0	5187	5035	3385	0	0	0	1638	0	1335	0	6285	0	4616	1991	0	0	2489	2673	406
OTU_27	2758	0	0	0	3292	0	0	0	4143	0	0	3555	0	0	5068	0	0	0	3911	482	0	0	0	1383	0	2242
OTU_28	2181	0	0	0	1557	0	0	0	2918	0	1510	0	3717	638	0	0	0	0	0	0	0	0	446	0	0	0
OTU_29	0	6898	0	0	4817	0	0	0	1457	379	0	4823	0	0	0	0	0	3652	0	4958	0	1580	0	0	0	0
OTU_30	2484	0	3011	0	0	0	0	2012	0	0	0	3938	0	0	0	0	0	620	0	3492	0	0	0	0	0	0
OTU_31	0	4914	0	0	2422	701	5215	0	2913	4305	0	0	0	0	0	1171	0	0	0	0	0	0	2223	0	0	0
OTU_32	0	0	0	0	0	0	0	0	4249	3240	0	0	0	3498	0	0	5759	0	130	0	0	0	0	0	0	0
OTU_33	1261	0	0	6180	0	2719	0	0	0	1325	3314	0	0	0	0	0	0	0	918	0	0	4089	1552	0	0	0
OTU_34	0	0	0	0	0	0	0	1750	5159	286	0	0	5819	3237	0	431	0	0	0	0	0	4113	0	3263	0	0
OTU_35	0	0	298	0	0	2730	0	0	0	0	3274	3868	0	0	564	0	1082	720	0	0	0	4062	1514	5673	0	0
OTU_36	0	0	0	0	0	1827	0	5500	5477	0	4165	0	5014	0	860	0	0	2322	0	0	0	0	5285	0	6297	0
OTU_37	0	0	0	0	0	0	0	4252	0	0	0	0	0	0	2831	0	0	4975	0	520	0	995	0	0	0	0
OTU_38	0	0	0	0	0	0	0	0	0	0	3560	0	0	4548	3562	0	0	0	2527	0	0	0	0	0	0	0
OTU_39	0	0	0	0	0	0	3973	0	0	0	2074	0	7718	0	2903	0	0	0	5218	0	0	928	0	0	5380	0
OTU_40	0	3652	0	5831	0	0	1062	0	0	0	4121	0	0	0	0	0	0	0	0	1252	0	0	0	0	0	0
OTU_41	0	0	0	0	0	1031	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3988
OTU_42	0	913	4549	0	712	0	2194	1240	0	4080	0	0	0	0	342	0	9065	0	0	2150	0	2853	0	4208	2049	0
OTU_43	0	0	4686	0	935	0	0	720	1341	0	3365	0	0	0	5365	0	0	0	0	0	0	0	0	0	0	0
OTU_44	5136	0	0	821	0	0	0	0	1639	0	0	0	0	0	324	0	0	0	2783	0	0	0	5092	0	0	0
OTU_45	1987	5911	0	0	0	0	2794	0	0	2027	3050	0	0	0	4247	2710	0	2390	0	0	0	0	709	0	0	0
OTU_46	0	0	0	0	2316	1781	3718	3080	0	0	0	0	0	0	0	5802	0	0	0	0	0	0	3135	0	0	1172
OTU_47	0	1251	3139	0	3777	0	0	0	2221	4488	0	2427	0	0	0	0	0	0	3232	0	0	0	0	4637	0	0
OTU_48	0	0	0	1160	0	2366	0	317	0	4076	0	3004	0	0	4602	5002	9014	0	1854	2785	701	0	0	0	0	0
OTU_49	1075	0	4081	0	0	0	0	1812	0	0	942	0	0	0	4498	3463	0	2155	0	0	4171	0	0	0	0	822
OTU_50	0	0	0	0	0	0	0	0	0	0	0	498	162	0	0	709	0	0	0	0	0	195	1614	0	0	0
OTU_51	0	0	0	0	0	1010	0	0	2854	1671	0	0	5014	2256	4109	1274	7642	285	0	0	0	2281	0	0	0	0
OTU_52	0	6030	0	0	2365	1734	0	0	0	0	0	0	0	0	0	0	0	3674	0	0	1949	0	0	1004	6100	0
OTU_53	0	0	0	0	4447	919	0	224	0	0	631	3594	0	0	2381	0	0	0	0	3569	0	4445	0	5853	0	0
OTU_54	0	0	0	0	0	186	2523	0	0	0	0	0	0	0	0	0	0	0	0	1084	2249	3719	4479	0	0	0
OTU_55	3573	1645	4446	0	0	3242	0	0	0	0	0	0	0	2182	0	702	0	0	4172	0	2912	0	0	0	0	2445
OTU_56	0	5348	0	0	0	2754	0	0	0	0	0	0	0	0	2261	0	0	0	0	0	0	0	0	1054	0	0
OTU_57	3154	0	1422	0	2231	1855	0	0	0	4266	0	0	0	0	0	0	0	0	0	0	1703	0	0	0	0	0
OTU_58	0	7280	0	0	0	1516	0	1303	0	0	0	0	0	1255	0	0	2141	2402	2534	5255	0	0	0	0	1158	6132
OTU_59	4817	0	139	2670	0	0	1658	0	0	0	0	0	8174	0	4552	0	0	0	0	2319	0	2181	4081	0	0	0
OTU_60	1374	0	0	0	0	0	7416	0	5794	0	0	3001	0	0	0	0	0	0	1482	0	2250	0	0	0	0	776
OTU_61	2166	0	1873	0	0	3798	0	0	5340	533	2887	507	0	0	0	0	0	1673	0	1016	3346	0	0	4420	0	0
OTU_62	3438	0	0	2376	0	0	801	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1798	0	0	5934	0
OTU_63	5110	0	0	0	0	0	0	1872	0	0	3931	0	0	0	0	0	0	0	0	0	734	0	0	0	0	4006
OTU_64	819	3475	0	5274	2144	0	2670	0	0	0	2691	732	0	0	0	0	636	2096	2126	3751	4013	1428	0	0	2582	2832
OTU_65	3607	0	0	5811	0	0	0	0	4669	0	0	1942	0	3781	0	3238	0	0	0	243	3282	0	0	0	0	0
OTU_66	0	703	2733	2144	0	0	0	0	1236	0	3400	2787	0	0	0	0	0	6363	3398	0	16	0	0	0	2015	0
OTU_67	0	0	3118	0	2388	2398	0	0	0	0	1088	4157	0	0	0	0	5303	667	0	0	3072	0	0	0	0	0
OTU_68	564	0	0	0	0	0	0	1213	0	0	0	0	0	0	1187	0	0	0	0	0	3578	3527	5214	3348	0	0
OTU_69	0	0	3415	0	4804	1968	0	5361	0	0	0	3906	0	0	0	0	0	0	0	0	3734	0	0	0	5396	2676
OTU_70	2501	2680	2643	2924	0	3354	0	0	0	2630	0	0	0	0	439	1455	0	1552	0	1890	1055	0	0	2775	0	6403
OTU_71	44	0	0	0	0	0	0	4135	0	328	0	2847	0	2296	0	0	0	5932	0	1652	779	0	1113	0	0	0
OTU_72	1530	0	573	0	583	0	0	0	0	0	0	4342	0	0	169	0	0	0	2318	2795	0	0	0	0	0	5774
OTU_73	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5890	0	5454	1034	0	0	0	0	0	6551	256
OTU_74	0	0	0	0	760	2235	0	5081	0	0	5012	4347	5078	0	1190	0	0	0	65	0	0	0	5592	2799	442	0
OTU_75	0	0	0	0	0	0	0	0	0	106	5894	0	0	0	0	0	0	1128	0	0	0	0	0	5878	0	1125
OTU_76	0	0	0	3474	0	0	232	0	0	0	0	0	0	0	0	2458	4180	0	118	0	4482	2976	0	0	0	0
OTU_77	0	0	0	0	1364	0	8648	0	865	0	0	0	3999	0	0	0	0	0	0	0	0	0	2213	0	0	1743
OTU_78	0	0	0	0	0	0	0	0	0	0	175	0	0	4676	0	3967	0	5861	0	0	0	0	0	4264	0	0
OTU_79	0	0	0	0	0	2301	0	0	0	0	5911	0	0	2590	0	5385	0	0	3471	0	0	0	0	0	0	0
OTU_80	0	0	3820	0	0	4213	0	5688	0	0	0	0	5169	0	5361	0	0	0	0	672	0	0	0	0	1780	0
OTU_81	3731	0	0	0	0	1078	0	358	0	0	0	0	0	3784	0	0	0	4902	0	0	0	2390	0	0	0	0
OTU_82	1515	0	2490	0	0	4126	0	0	0	0	0	0	0	0	0	0	0	0	0	1819	0	1360	0	0	0	0
OTU_83	0	5856	0	0	0	0	0	0	0	0	0	0	0	0	4761	4679	0	0	0	3554	0	1639	0	5913	5238	0
OTU_84	0	5085	0	0	0	1589	0	0	0	11	0	0	4427	0	0	0	0	0	0	3001	0	0	0	0	1055	0
OTU_85	0	0	0	6207	0	0	7367	0	0	0	0	708	0	0	0	5341	0	0	0	4759	2311	3993	4745	1017	0	6213
OTU_86	0	4863	2954	0	3911	4256	0	0	0	0	0	4976	0	0	0	706	5872	0	0	0	0	0	0	0	0	0
OTU_87	0	958	4443	0	784	3060	303	0	0	0	0	0	7280	0	0	0	0	3368	0	0	0	0	0	0	0	0
OTU_88	0	0	0	0	2509	0	0	6093	0	4136	0	0	0	0	0	0	0	0	5753	0	0	3967	0	0	0	0
OTU_89	0	0	0	0	0	0	5450	128	0	0	0	2305	0	1977	0	0	6061	0	0	3275	0	1863	3909	0	0	439
OTU_90	3627	0	1092	0	3104	0	7492	0	0	0	0	0	0	0	0	1264	0	0	0	0	0	0	0	0	0	0
OTU_91	2288	0	0	3305	383	0	4466	0	3352	4102	0	1251	0	0	0	2504	0	0	0	0	0	0	0	481	0	2393
OTU_92	0	563	0	0	0	909	1923	4361	0	1249	711	0	7946	3449	0	602	0	0	0	0	2240	0	0	0	0	5037
OTU_93	0	0	0	0	0	0	0	0	0	3860	2281	0	0	0	0	0	0	0	0	611	1249	0	0	0	0	0
OTU_94	0	7470	0	0	0	4530	0	0	0	4337	0	0	0	3179	0	1491	0	0	2836	0	2818	0	199	0	4759	0
OTU_95	3630	1892	0	0	0	3494	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1334	5682	0	4566	0
OTU_96	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	305	0	3472	0	0	0	2705	0	0	0	4110
OTU_97	0	0	0	5010	0	0	0	0	0	3658	0	4797	0	0	0	0	0	0	3328	859	0	3281	0	0	0	0
OTU_98	0	1756	0	0	1851	4398	4485	0	469	3015	0	30	0	0	0	0	0	2084	0	757	627	0	4285	0	0	0
OTU_99	0	0	0	0	0	0	0	6026	0	3281	0	0	0	2566	0	0	0	4154	0	0	0	0	0	0	0	3094
OTU_100	3655	281	316	0	0	2434	0	5380	0	0	0	0	0	2591	0	220	0	0	0	0	0	0	0	4592	1309	768
